# ell:		[0-0]		
0	8.3678215504218278584e-05	
1	8.3368941716580223446e-05	
2	8.2148207926149320861e-05	
3	8.0607238916830827296e-05	
4	7.8958338987138867809e-05	
5	7.7291402252979639451e-05	
6	7.5653170077957660454e-05	
7	7.4080779219484071572e-05	
8	7.2555373147012392973e-05	
9	7.1089499982948458636e-05	
10	6.967450226493672428e-05	
11	6.830921608129409241e-05	
12	6.6982296548016696347e-05	
13	6.568667474011235575e-05	
14	6.4416204370520223463e-05	
15	6.3166240417809248154e-05	
16	6.1930837441939617688e-05	
17	6.0704320627016398961e-05	
18	5.9484020465056924041e-05	
19	5.8268166266424183911e-05	
20	5.7055577306951628131e-05	
21	5.584541070990722356e-05	
22	5.4637585022826771304e-05	
23	5.3432433885193587907e-05	
24	5.2231189880013352957e-05	
25	5.1035310326172340185e-05	
26	4.9846347553235902886e-05	
27	4.8666233933485787135e-05	
28	4.7496996849882838895e-05	
29	4.6340682092742537727e-05	
30	4.5199409081799121204e-05	
31	4.4075315644141480824e-05	
32	4.2970539606858521638e-05	
33	4.1887133612733121787e-05	
34	4.0826809567324099195e-05	
35	3.9791194191884258428e-05	
36	3.8781914207666383723e-05	
37	3.7800466944508230322e-05	
38	3.6847832166587335845e-05	
39	3.5924860246666215694e-05	
40	3.5032401557507358164e-05	
41	3.4171306471873265104e-05	
42	3.3342250283718169001e-05	
43	3.2545207971763204561e-05	
44	3.1779979435921250678e-05	
45	3.1046364576105172695e-05	
46	3.0344163292227859674e-05	
47	2.9673175484202160015e-05	
48	2.9033066183884474927e-05	
49	2.8422960950905271153e-05	
50	2.7841850476838527585e-05	
51	2.7288725453258236666e-05	
52	2.6762576571738377288e-05	
53	2.6262394523852931731e-05	
54	2.5787170001175889049e-05	
55	2.5335839712537903842e-05	
56	2.4907124435796303038e-05	
57	2.449969096606509605e-05	
58	2.4112206098458278735e-05	
59	2.3743336628089863896e-05	
60	2.3391749350073850778e-05	
61	2.3056111059524242018e-05	
62	2.2735088551555040251e-05	
63	2.2427370771539017618e-05	
64	2.2131735265883997174e-05	
65	2.1846981731256588422e-05	
66	2.1571909864323383921e-05	
67	2.1305319361750976232e-05	
68	2.1046009920205974858e-05	
69	2.079278123635496897e-05	
70	2.0544433006864557906e-05	
71	2.0299764928401341002e-05	
72	2.0057689603699855804e-05	
73	1.9817571259766409634e-05	
74	1.9578887029675241246e-05	
75	1.9341114046500609722e-05	
76	1.9103729443316747039e-05	
77	1.8866210353197905504e-05	
78	1.8628033909218330648e-05	
79	1.8388677244452271387e-05	
80	1.8147617491973966477e-05	
81	1.7904331784857664835e-05	
82	1.7658423719357424562e-05	
83	1.7410002744446557429e-05	
84	1.7159304772278167447e-05	
85	1.6906565715005385735e-05	
86	1.6652021484781323081e-05	
87	1.6395907993759097049e-05	
88	1.6138461154091831982e-05	
89	1.587991687793263189e-05	
90	1.5620511077434631281e-05	
91	1.5360479664750934165e-05	
92	1.5100058552034664885e-05	
93	1.4839483651438942698e-05	
94	1.4579023309233865208e-05	
95	1.4319075608157463716e-05	
96	1.4060071065064754645e-05	
97	1.3802440196810749333e-05	
98	1.3546613520250470978e-05	
99	1.3293021552238925838e-05	
100	1.3042094809631133722e-05	
101	1.2794263809282111052e-05	
102	1.2549959068046869168e-05	
103	1.2309611102780424491e-05	
104	1.2073650430337791749e-05	
105	1.1842507567573985668e-05	
106	1.1616613031344020978e-05	
107	1.1396327995040990956e-05	
108	1.1181736258210294612e-05	
109	1.0972852276935402731e-05	
110	1.0769690507299792875e-05	
111	1.0572265405386939216e-05	
112	1.0380591427280321009e-05	
113	1.0194683029063405651e-05	
114	1.0014554666819675785e-05	
115	9.8402207966326005027e-06	
116	9.6716958745856556701e-06	
117	9.5089943567623205425e-06	
118	9.3521306992460659049e-06	
119	9.20111935812036593e-06	
120	9.0559747894686981791e-06	
121	8.9167114493745368249e-06	
122	8.7832954821354674191e-06	
123	8.6554997849055227222e-06	
124	8.533048943052843485e-06	
125	8.4156675419455721527e-06	
126	8.3030801669518528642e-06	
127	8.1950114034398229826e-06	
128	8.0911858367776317289e-06	
129	7.9913280523334147721e-06	
130	7.8951626354753179452e-06	
131	7.8024141715714836933e-06	
132	7.7128072459900527674e-06	
133	7.6260664440991676125e-06	
134	7.5419163512669715207e-06	
135	7.4600815528616060899e-06	
136	7.3802866342512146123e-06	
137	7.3022561808039386858e-06	
138	7.2257147778879190613e-06	
139	7.1503870108713007251e-06	
140	7.0760298723881219707e-06	
141	7.0025299841360163448e-06	
142	6.9298063750785123953e-06	
143	6.8577780741791429057e-06	
144	6.7863641104014364239e-06	
145	6.7154835127089231923e-06	
146	6.645055310065135994e-06	
147	6.5749985314336025302e-06	
148	6.5052322057778555841e-06	
149	6.4356753620614220098e-06	
150	6.3662470292478354376e-06	
151	6.2968662363006244157e-06	
152	6.2274520121833200332e-06	
153	6.1579233858594525323e-06	
154	6.0881993862925538492e-06	
155	6.0181990424461508381e-06	
156	5.9478413832837762821e-06	
157	5.8770454377689612706e-06	
158	5.8057302348652343516e-06	
159	5.7338148035361257674e-06	
160	5.6612476789695753758e-06	
161	5.588095421251153875e-06	
162	5.5144540966908407319e-06	
163	5.4404197715986179543e-06	
164	5.3660885122844624682e-06	
165	5.2915563850583537402e-06	
166	5.2169194562302720843e-06	
167	5.1422737921101995085e-06	
168	5.0677154590081129385e-06	
169	4.9933405232339926882e-06	
170	4.9192450510978190714e-06	
171	4.8455251089095707082e-06	
172	4.7722767629792279122e-06	
173	4.6995960796167718444e-06	
